name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key
hoax,Taylor Swift,6MWoRt97mnSTXZhu3ggi9C,0.662,0.18100000000000002,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,220042,4,11,1.0,08.08.2020,73,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],8
Perfect,Logic,5jbDih9bLGmI8ycUKkN5XA,0.769,0.8290000000000001,-5.228,1,0.0661,0.00948,6.65e-05,0.301,0.648,159.94299999999998,100291,4,6,1.0,08.08.2020,74,24.07.2020,14,85,4990132,1,['4xRYI6VqpkE3UwrDrAZL8L'],0
The Climb Back,J. Cole,0FlfN5cbUUpIHCRH8X1M44,0.61,0.569,-9.447000000000001,0,0.345,0.0398,0.0,0.337,0.287,81.40899999999999,304640,4,9,1.0,01.08.2020,75,22.07.2020,176,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],10
Wishing Well,Juice WRLD,2U5WueTLIK5WJLD7mvDODv,0.65,0.613,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4,9,1.0,25.07.2020,90,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],9
Conversations,Juice WRLD,4K06PO78fW4mnBVenxGNob,0.747,0.622,-5.825,1,0.0838,0.17600000000000002,0.0,0.151,0.57,159.93,181661,4,9,1.0,25.07.2020,84,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],11
Blood On My Jeans,Juice WRLD,0fCwrjKfWxF3xQhZrYUw4T,0.868,0.55,-6.417000000000001,1,0.226,0.183,0.0,0.109,0.46399999999999997,117.943,154767,4,8,1.0,25.07.2020,79,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],6
Titanic,Juice WRLD,1YM6c2sxbf2Jacl9IFgn4I,0.5670000000000001,0.545,-6.667999999999999,0,0.0448,0.168,0.0,0.11199999999999999,0.23399999999999999,174.146,176649,4,8,1.0,25.07.2020,78,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],1
Bad Energy,Juice WRLD,7d94IqWX2UmSKMGUYSGFJG,0.654,0.452,-6.36,1,0.0439,0.17,0.0,0.114,0.532,138.034,186749,4,7,1.0,25.07.2020,79,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],7
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,38iBrrbbXyWaSPkmuDNgjZ,0.88,0.787,-5.189,1,0.11800000000000001,0.226,0.0,0.12,0.588,113.01799999999999,264833,4,11,1.0,25.07.2020,75,10.07.2020,32,94,43023490,2,"['0fA0VVWsXO9YnASrzqfmYu', '7dGJo4pcD2V6oG8kP0tJRR']",8
Stay High,Juice WRLD,21CkzgKCBCq5V4XKjiGSIj,0.745,0.5,-6.184,1,0.135,0.439,0.0,0.0943,0.433,76.968,168684,4,9,1.0,25.07.2020,80,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],8
Fighting Demons,Juice WRLD,0440JCJyIAmINA8KcYgFb5,0.7070000000000001,0.67,-6.327999999999999,0,0.257,0.0813,0.0,0.098,0.235,163.099,200628,4,9,1.0,25.07.2020,76,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],7
Up Up And Away,Juice WRLD,7pbg3ABlAZv2NiIdKbBBFm,0.6609999999999999,0.665,-6.356,0,0.053,0.5379999999999999,0.0,0.0981,0.486,75.059,147547,4,6,1.0,25.07.2020,78,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],4
Screw Juice,Juice WRLD,4F6YLjakjqWFTgC5qfEwPQ,0.595,0.528,-7.371,0,0.0935,0.08199999999999999,0.0,0.142,0.515,150.075,179464,4,9,1.0,25.07.2020,76,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],5
I Want It,Juice WRLD,2SVx3uds6jTWALFxevIWMA,0.28800000000000003,0.638,-6.935,0,0.0779,0.133,8.16e-05,0.14,0.147,66.42399999999999,173113,3,5,1.0,25.07.2020,75,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],4
Man Of The Year,Juice WRLD,7AvprzMsRJpybaalckaT8c,0.621,0.695,-5.124,1,0.0911,0.00584,0.0,0.086,0.298,173.96599999999998,136408,4,6,1.0,25.07.2020,79,10.07.2020,135,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz'],4
