name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Still In My Heart,Tracie Spencer,6zAmV2YJovLGTBO2bk5HGG,0.674,0.529,-6.188,1,0.025,0.307,2.23e-06,0.0725,0.601,89.913,257240,4,11,1,2000-03-04,28,1999-01-01,13,39,80857,1,['2SwRWWKpFqktihz7o2rfYX'],0,2SwRWWKpFqktihz7o2rfYX,Tracie Spencer
Get Up,Amel Larrieux,5YzK2kmIM7cdpRbv0iGaEs,0.631,0.494,-8.335,0,0.101,0.31,1.77e-05,0.064,0.542,88.559,244866,4,9,1,2000-03-04,43,2000-02-02,0,45,190404,1,['4hVcxmC7igpot32EzQf7IR'],11,4hVcxmC7igpot32EzQf7IR,Amel Larrieux
Anything,Beanie Sigel,1xixUOjgdqMOPZxursTms3,0.8029999999999999,0.7490000000000001,-5.9529999999999985,1,0.219,0.0621,0.0033,0.0694,0.901,81.502,286333,4,11,1,2000-02-26,45,1999-01-01,0,87,5713670,1,['3nFkdlSjzX9mRTtwJOzDYB'],10,3nFkdlSjzX9mRTtwJOzDYB,Beanie Sigel
You Sang To Me,Marc Anthony,2dwhMQsFeHr2S787WxqAqW,0.578,0.894,-5.42,1,0.0296,0.0103,2.66e-06,0.21600000000000005,0.741,165.98,347106,4,16,1,2000-02-26,55,1999-09-28,24,81,4668374,1,['4wLXwxDeWQ8mtUIRPxGiD6'],10,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
Party Up (Up in Here) - Re-Recorded,DMX,4XSgaQfGgJ9FDCcvmOe404,0.736,0.8340000000000001,-3.052,0,0.0969,0.077,0.0,0.407,0.234,100.979,297040,4,8,1,2000-02-26,51,2011-03-08,10,74,2205235,1,['1HwM5zlC5qNWhJtM00yXzG'],1,1HwM5zlC5qNWhJtM00yXzG,DMX
That's What I'm Looking For,Da Brat,3hVNySmPHrzsrpwxL3j6vT,0.929,0.728,-5.524,1,0.102,0.344,0.0,0.055,0.961,130.076,221533,4,12,1,2000-02-26,32,2000-04-11,0,57,297798,1,['2I1bnmb9VQEQGKHxvr0gSf'],1,2I1bnmb9VQEQGKHxvr0gSf,Da Brat
Stay Or Let It Go,Brian McKnight,6OCkJHVoGoWOMymzjzdOHX,0.639,0.57,-6.714,0,0.0382,0.0198,0.0005650000000000001,0.215,0.458,79.993,279893,4,11,1,2000-02-26,35,1999-09-21,29,67,939279,1,['6k0IBR0lU42s2GYpNX7kA9'],5,6k0IBR0lU42s2GYpNX7kA9,Brian McKnight
American Pie,Various Artists,1vo6TY0FyLRBTXohxvflhJ,0.631,0.7340000000000001,-7.48,0,0.036000000000000004,0.348,0.0,0.135,0.591,124.036,273533,4,12,1,2000-02-19,44,2000-01-01,0,81,4523105,1,['6tbjWDEIzxoDsBA1FuhfPW'],5,6tbjWDEIzxoDsBA1FuhfPW,Madonna
Only God Knows Why,Kid Rock,1rAzW6aco1ZtxLRx4XOagB,0.628,0.7490000000000001,-5.18,1,0.03,0.0569,0.00204,0.134,0.31,129.2,327666,4,17,1,2000-02-19,62,1998-08-05,5,73,1426834,1,['7dOBabd5O4CvKrg4iriHTM'],4,7dOBabd5O4CvKrg4iriHTM,Kid Rock
I Try,Macy Gray,5TAf4lnZCZTLlZHNZMLFLi,0.593,0.642,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440,4,9,1,2000-02-19,72,1999-07-03,0,66,472238,1,['4ylR3zwA0zaapAu94fktwa'],2,4ylR3zwA0zaapAu94fktwa,Macy Gray
